titulo,texto,categoria,archivo_origen
Que es la inyeccion SQL,"La inyeccion SQL es una vulnerabilidad que ocurre cuando datos ingresados por un usuario se incluyen directamente en una consulta a la base de datos sin validacion adecuada. Un atacante puede aprovechar esto para leer, modificar o eliminar informacion sin autorizacion, por lo que se recomienda el uso de consultas parametrizadas.",ciberseguridad,ciber_01.txt
Autenticacion de dos factores,"La autenticacion de dos factores agrega una capa adicional de seguridad al requerir, ademas de la contrasena, un segundo elemento de verificacion como un codigo temporal enviado al telefono. Esto reduce significativamente el riesgo de acceso no autorizado aunque la contrasena sea comprometida.",ciberseguridad,ciber_03.txt
Gestion segura de contrasenas,"Almacenar contrasenas de forma segura implica nunca guardarlas en texto plano, sino aplicar funciones de hash con sal para dificultar que un atacante las recupere incluso si accede a la base de datos. Ademas, se recomienda exigir politicas de contrasenas robustas a los usuarios.",ciberseguridad,ciber_08.txt
Firewalls y control de trafico de red,"Un firewall filtra el trafico de red permitiendo o bloqueando conexiones segun reglas predefinidas, actuando como una barrera entre una red confiable y otras redes externas. Es una de las primeras lineas de defensa dentro de la seguridad perimetral de un sistema.",ciberseguridad,ciber_07.txt
Cifrado simetrico y asimetrico,"El cifrado simetrico utiliza una misma clave para cifrar y descifrar informacion, mientras que el cifrado asimetrico utiliza un par de claves, una publica y otra privada. Ambos enfoques se combinan frecuentemente en protocolos de comunicacion segura para balancear velocidad y seguridad.",ciberseguridad,ciber_02.txt
Que es TF-IDF,"TF-IDF es una tecnica que asigna un peso a cada palabra de un documento segun su frecuencia dentro del texto y su rareza en el resto del corpus. Las palabras muy comunes en todos los documentos reciben un peso bajo, mientras que las distintivas reciben un peso mas alto.",data_science,ds_03.txt
Regresion logistica,"La regresion logistica es un algoritmo de clasificacion que estima la probabilidad de que una observacion pertenezca a una categoria determinada. A pesar de su nombre, se utiliza para problemas de clasificacion y no de regresion numerica.",data_science,ds_04.txt
Que es la ciencia de datos,"La ciencia de datos combina estadistica, programacion y conocimiento de dominio para extraer informacion util a partir de grandes volumenes de datos. Su proceso tipico incluye recoleccion, limpieza, analisis exploratorio, modelado y comunicacion de resultados.",data_science,ds_01.txt
Division de datos en entrenamiento y prueba,Separar los datos en un conjunto de entrenamiento y otro de prueba permite evaluar que tan bien generaliza un modelo a datos que no ha visto antes. Esta practica evita conclusiones erroneas basadas unicamente en el rendimiento sobre los datos usados para entrenar.,data_science,ds_05.txt
Introduccion a Pandas,"Pandas es una libreria de Python que facilita la manipulacion y analisis de datos tabulares mediante estructuras como DataFrame. Permite filtrar, agrupar y transformar datos de forma eficiente antes de aplicar tecnicas de modelado.",data_science,ds_02.txt
Limpieza de texto para modelos de lenguaje,"Antes de entrenar un modelo con texto, es comun normalizar el contenido convirtiendolo a minusculas, eliminando signos de puntuacion y quitando palabras muy frecuentes que aportan poco significado. Este preprocesamiento mejora la calidad de las representaciones numericas del texto.",data_science,ds_07.txt
Metricas de evaluacion en clasificacion,"Precision, recall y F1 son metricas que permiten evaluar el desempeno de un modelo de clasificacion mas alla del simple porcentaje de aciertos. Son especialmente utiles cuando las categorias no estan balanceadas entre si.",data_science,ds_06.txt
Similitud coseno entre documentos,"La similitud coseno mide el angulo entre dos vectores para determinar que tan parecidos son, independientemente de su magnitud. Es ampliamente utilizada para comparar documentos representados como vectores TF-IDF y encontrar contenidos relacionados.",data_science,ds_08.txt
Despliegue continuo,"El despliegue continuo automatiza el proceso de llevar una aplicacion desde el codigo fuente hasta un entorno de produccion, reduciendo la intervencion manual. Suele combinarse con integracion continua para formar un pipeline completo.",devops,devops_03.txt
Variables de entorno y configuracion,"Las variables de entorno permiten separar la configuracion de una aplicacion de su codigo fuente, facilitando cambiar valores como credenciales o URLs segun el entorno donde se ejecute, sin modificar el codigo directamente.",devops,devops_08.txt
Monitoreo de aplicaciones en produccion,"El monitoreo permite observar el estado y rendimiento de una aplicacion una vez desplegada, detectando errores, tiempos de respuesta elevados o caidas del servicio. Es una practica esencial para mantener la disponibilidad de un sistema.",devops,devops_07.txt
Servicios de almacenamiento en la nube,"Los proveedores de nube ofrecen servicios de almacenamiento de objetos que permiten guardar archivos como modelos entrenados o documentos, accesibles mediante una API. Estos servicios suelen escalar automaticamente sin necesidad de gestionar servidores propios.",devops,devops_05.txt
Que es Docker,"Docker es una plataforma que permite empaquetar una aplicacion junto con todas sus dependencias en un contenedor, garantizando que funcione igual en distintos entornos. Esto elimina el clasico problema de que algo funcione en una maquina y no en otra.",devops,devops_01.txt
Infraestructura como codigo,"La infraestructura como codigo permite definir servidores, redes y otros recursos de infraestructura mediante archivos de configuracion versionables, en lugar de configurarlos manualmente. Esto facilita reproducir entornos de forma consistente.",devops,devops_04.txt
Contenedores versus maquinas virtuales,"A diferencia de una maquina virtual, un contenedor comparte el nucleo del sistema operativo anfitrion, lo que lo hace mucho mas liviano y rapido de iniciar. Esto permite ejecutar muchos mas contenedores que maquinas virtuales en el mismo hardware.",devops,devops_06.txt
Integracion continua,"La integracion continua es una practica donde los cambios de codigo se integran frecuentemente al repositorio principal, ejecutando pruebas automaticas en cada actualizacion. Esto permite detectar errores tempranamente antes de que lleguen a produccion.",devops,devops_02.txt
Componentes reutilizables,"Un componente es una pieza independiente de interfaz que encapsula su propia logica y presentacion, pudiendo reutilizarse en distintas partes de una aplicacion. Este enfoque modular reduce la duplicacion de codigo y facilita el mantenimiento.",frontend,frontend_06.txt
Accesibilidad web,"La accesibilidad web busca que las interfaces puedan ser utilizadas por personas con distintas capacidades, incluyendo el uso de lectores de pantalla. Practicas como etiquetas semanticas correctas y contraste de color adecuado son parte fundamental de este enfoque.",frontend,frontend_08.txt
Consumo de APIs desde el frontend,"Las aplicaciones frontend obtienen datos dinamicos realizando peticiones HTTP a una API backend, generalmente mediante fetch o librerias como axios. La respuesta, normalmente en formato JSON, se utiliza para actualizar la interfaz que ve el usuario.",frontend,frontend_05.txt
Manejo de estado en aplicaciones web,"El estado representa los datos que cambian a lo largo del tiempo dentro de una aplicacion frontend, como el contenido de un formulario o la respuesta de una API. Librerias modernas ofrecen hooks especificos para declarar y actualizar este estado de forma predecible.",frontend,frontend_03.txt
Flexbox en CSS,"Flexbox es un modelo de diseno en CSS que facilita la alineacion y distribucion de elementos dentro de un contenedor, incluso cuando su tamano es desconocido o dinamico. Es ampliamente usado para crear layouts responsivos sin depender de posicionamiento absoluto.",frontend,frontend_02.txt
Diseno responsivo,"El diseno responsivo busca que una pagina web se adapte correctamente a distintos tamanos de pantalla, desde moviles hasta monitores grandes. Se logra combinando unidades relativas, media queries y estructuras de layout flexibles.",frontend,frontend_04.txt
Que es React,"React es una libreria de JavaScript para construir interfaces de usuario basadas en componentes reutilizables. Permite que la interfaz se actualice automaticamente cuando cambian los datos, gracias a un modelo de renderizado eficiente conocido como DOM virtual.",frontend,frontend_01.txt
Enrutamiento en aplicaciones de una sola pagina,"Las aplicaciones de una sola pagina utilizan un sistema de enrutamiento en el cliente para mostrar distintas vistas sin recargar el navegador. Esto mejora la fluidez de la navegacion, aunque requiere gestionar manualmente el historial del navegador.",frontend,frontend_07.txt
Tipos de datos y variables,"Los tipos de datos definen que clase de valores puede almacenar una variable y que operaciones son validas sobre ella, como numeros enteros, cadenas de texto o valores booleanos. Un tipado adecuado ayuda a prevenir errores comunes en tiempo de ejecucion.",fundamentos,fund_07.txt
Que es la programacion orientada a objetos,"La programacion orientada a objetos organiza el codigo en torno a objetos que combinan datos y comportamiento. Sus pilares fundamentales son encapsulamiento, herencia, polimorfismo y abstraccion, y es la base de lenguajes como Java.",fundamentos,fund_01.txt
Estructuras de datos basicas,"Las estructuras de datos como listas, pilas, colas y arboles definen distintas formas de organizar y acceder a la informacion en memoria. Elegir la estructura adecuada segun el problema impacta directamente en el rendimiento del programa.",fundamentos,fund_02.txt
Control de versiones con Git,"Git es un sistema de control de versiones que permite registrar el historial de cambios de un proyecto y trabajar de forma colaborativa. Conceptos como ramas, commits y fusiones son fundamentales para coordinar el trabajo en equipo.",fundamentos,fund_04.txt
Complejidad algoritmica,"La complejidad algoritmica mide como crece el tiempo o el espacio que requiere un algoritmo a medida que aumenta el tamano de la entrada. Se expresa comunmente usando notacion Big O, permitiendo comparar la eficiencia entre distintas soluciones.",fundamentos,fund_03.txt
Funciones y modularidad,"Dividir un programa en funciones permite reutilizar codigo y organizar la logica en bloques con una responsabilidad clara. Esta practica facilita las pruebas, ya que cada funcion puede validarse de forma independiente del resto del sistema.",fundamentos,fund_06.txt
Manejo de errores y excepciones,"El manejo de excepciones permite que un programa responda de forma controlada ante situaciones inesperadas, en lugar de detenerse abruptamente. Bloques como try y catch capturan errores especificos y permiten definir una accion alternativa.",fundamentos,fund_05.txt
Recursividad,La recursividad es una tecnica donde una funcion se llama a si misma para resolver un problema dividiendolo en subproblemas mas pequenos. Requiere definir claramente un caso base para evitar que la funcion se ejecute indefinidamente.,fundamentos,fund_08.txt
Procesamiento de lenguaje natural,"El procesamiento de lenguaje natural es el area de la inteligencia artificial dedicada a que las maquinas comprendan y generen lenguaje humano. Incluye tareas como traduccion automatica, analisis de sentimientos y generacion de texto mediante modelos de lenguaje.",inteligencia_artificial,ia_03.txt
Entrenamiento por refuerzo,"El aprendizaje por refuerzo es un enfoque donde un agente aprende a tomar decisiones interactuando con un entorno, recibiendo recompensas o penalizaciones segun sus acciones. Con el tiempo, el agente ajusta su comportamiento para maximizar la recompensa acumulada.",inteligencia_artificial,ia_06.txt
Que es una red neuronal,"Una red neuronal es un modelo computacional inspirado en el funcionamiento del cerebro, compuesto por capas de nodos interconectados que ajustan sus parametros durante el entrenamiento. Es la base de las tecnicas de deep learning utilizadas en tareas complejas como reconocimiento de imagenes o procesamiento de lenguaje.",inteligencia_artificial,ia_01.txt
Redes neuronales convolucionales,"Las redes neuronales convolucionales son un tipo de arquitectura especializada en procesar datos con estructura de cuadricula, como imagenes, mediante filtros que detectan patrones locales como bordes o texturas. Son ampliamente utilizadas en tareas de clasificacion y deteccion de objetos.",inteligencia_artificial,ia_07.txt
Modelos de lenguaje grandes,"Los modelos de lenguaje grandes son sistemas entrenados con enormes cantidades de texto que aprenden a predecir la siguiente palabra en una secuencia, lo que les permite generar respuestas coherentes ante una amplia variedad de instrucciones. Su entrenamiento requiere una capacidad computacional significativamente mayor que los modelos clasicos de machine learning.",inteligencia_artificial,ia_04.txt
Diferencia entre inteligencia artificial y machine learning,"La inteligencia artificial es un campo amplio que busca que las maquinas realicen tareas que normalmente requieren inteligencia humana, mientras que el machine learning es un subconjunto de la IA centrado en que los sistemas aprendan patrones a partir de datos sin ser programados explicitamente para cada tarea.",inteligencia_artificial,ia_02.txt
Sesgo en modelos de inteligencia artificial,"Un modelo de inteligencia artificial puede reproducir o amplificar sesgos presentes en los datos con los que fue entrenado, generando resultados injustos hacia ciertos grupos. Detectar y mitigar este sesgo es una parte importante del desarrollo responsable de sistemas de IA.",inteligencia_artificial,ia_08.txt
Vision por computadora,"La vision por computadora permite que un sistema interprete y analice contenido visual como imagenes o video, identificando objetos, rostros o patrones especificos. Se apoya fuertemente en redes neuronales convolucionales entrenadas con grandes conjuntos de imagenes etiquetadas.",inteligencia_artificial,ia_05.txt
